	N1‒UNIF ρ	Chao92 ρ	Jack1 ρ	Chao2sig ρ	Distinct
province of Italy (Q15089)	0.0	0.0	0.0	0.0	106.0
municipality (Q15284)	4.197479326487585e-05	0.00025692724351993225	0.16908674419790695	0.14812794187541461	2592.0
television program (Q15416)	9.821314843231675e-06	1.0959122192851694e-05	0.5564147766218122	0.12346697342388743	38528.0
region of Italy (Q16110)	0.0	0.0	0.0	0.0	15.0
taxon (Q16521)	5.396093809552942e-07	1.7202436090065918e-06	0.15034009323557793	0.16953072322489093	2374221.0
palace (Q16560)	4.0463144194751505e-05	0.00010448005862000635	0.4530453019709495	0.18755566689424102	9415.0
hospital (Q16917)	0.00013881984241342668	0.0001745407474329669	0.18746471091274985	0.11255241799964143	10215.0
church (Q16970)	2.5905989470356287e-06	3.5856846427081706e-06	0.3677155936154564	0.10022889083960619	140401.0
sexual orientation (Q17888)	0.0032410247336037033	0.10130547543741666	0.31995061362248867	0.3427236516701531	20.0
record label (Q18127)	4.6314892305369503e-05	0.00037173970507646824	0.2618373624852651	0.21279537005447186	7138.0
high-rise building (Q18142)	0.0010183554627212993	0.0010858526183898471	0.1320376530104552	0.05234334528723019	1196.0
Academy Awards (Q19020)	0.0036884125134435753	0.043886785936653586	0.07540454152341187	0.06762253630705498	62.0
leap year (Q19828)	0.0	0.0	0.0	0.0	82.0
natural number (Q21199)	0.00047933127869607365	0.00047933127869607365	0.0012103414637101367	0.0002737005684590712	10171.0
green space (Q22652)	0.00010100662945923318	0.00010100662945923318	0.12054840990460022	0.03539310606277046	1215.0
railroad (Q22667)	0.0014467763239554056	0.0014467763239554056	0.1443118978069263	0.06686993756734796	1506.0
bank (Q22687)	0.0013058262412943208	0.003977103120851387	0.0884574272040569	0.07374871105409422	1345.0
park (Q22698)	1.977687792064489e-05	1.977687792064489e-05	0.4500879386983513	0.15297867907240625	32047.0
urban park (Q22746)	0.0005732028448621621	0.0011625069410109998	0.2968232253671634	0.3065703483131797	1654.0
national library (Q22806)	0.0022515908471788123	0.02342974627816976	0.09314508222505373	0.15732794879719464	241.0
independent city (Q22865)	0.0	0.0	0.0	0.0	99.0
canton of Switzerland (Q23058)	0.007231727724724024	0.04192616061716656	0.035168870502942325	0.004955905596994294	28.0
lake (Q23397)	1.8615156304746798e-06	1.8615156304746798e-06	0.6676635070156786	0.08158255509216668	218667.0
castle (Q23413)	4.1096862374502084e-05	7.415303818660722e-05	0.1826173778808311	0.10601238288882267	15406.0
island (Q23442)	4.965887297068173e-06	1.020057381195497e-05	0.5460459241997977	0.1741142308004208	128323.0
eye color (Q23786)	0.0021712252709309987	0.032387684996822375	0.1839269505274292	0.11332470254066662	16.0
theater (Q24354)	8.20378214600457e-05	0.00015381749510162663	0.24555989638732137	0.15848938678903435	8232.0
province of the Philippines (Q24746)	0.0	0.0	0.0	0.0	84.0
municipality of the Philippines (Q24764)	0.0	0.0	0.0	0.0	1489.0
film series (Q24856)	0.0003513486953950893	0.0014002533217011652	0.1733157140013299	0.11272163816920752	722.0
short film (Q24862)	0.0001290862098611507	0.00020171772149678877	0.048628078586958536	0.017382876319564	11390.0
feature film (Q24869)	0.0004293462131523386	0.0013182886749201219	0.04923391518307564	0.009850269203466268	175.0
language family (Q25295)	0.00027806764186044224	0.0016884772091574141	0.16493751845412263	0.18467401477482742	1416.0
play (Q25379)	8.833574630036943e-05	0.00014855260984582888	0.3751904330263013	0.24017908174316682	9315.0
dune (Q25391)	0.00016424135845974838	0.00016424135845974838	0.6720772853070303	0.43265852321816706	4644.0
hotel (Q27686)	5.099364678853025e-05	5.7809118593018904e-05	0.38506570667590984	0.1509740314146943	9280.0
township in the United States (Q28111)	3.7222721697096016e-05	3.7222721697096016e-05	0.0034217411185067928	0.0007153170605780446	3449.0
shoal (Q28337)	0.00012899840597796152	0.00012899840597796152	0.5777417268919672	0.24026593947637007	7638.0
public library (Q28564)	7.481666560656334e-05	0.0001144043677870244	0.6340810285779901	0.15989594860812895	3810.0
profession (Q28640)	1.002152352041714e-05	0.00025771038567691805	0.3902388274269631	0.14077562291902268	5314.0
applied science (Q28797)	0.013188405797101455	0.23981787382155823	0.03515182114512472	0.03754359877490601	14.0
sanctuary (Q29553)	0.0005710787274371985	0.0007208258053684868	0.12813791531338967	0.05633837555110206	826.0
marsh (Q30198)	0.00020485296781369664	0.00020485296781369664	0.6946006525494803	0.27005701126819665	2820.0
type of sport (Q31629)	0.0004738909471974684	0.009659484076237675	0.11263012546007702	0.08710344455594167	300.0
research institute (Q31855)	0.00013476711727237656	0.0006028586385008979	0.29284693001712714	0.2718357124945776	4054.0
mosque (Q32815)	7.255334458612382e-05	7.266044024518002e-05	0.339828372290628	0.16209766102073886	6058.0
architectural style (Q32880)	0.0003593995737362693	0.006293134636264229	0.14552380346796007	0.1609754599253626	474.0
dialect (Q33384)	0.0002847454546420981	0.0011167714787706064	0.35106769058215703	0.37170287497189897	2078.0
museum (Q33506)	4.098094981644745e-05	8.856155153832854e-05	0.2707288598425921	0.18532462700710364	21319.0
natural language (Q33742)	0.002013585764579023	0.05445851813440652	0.13129711654431803	0.19878837917502376	45.0
archipelago (Q33837)	0.00084886810164333	0.006847974095846912	0.06198693211440333	0.08161724951976042	629.0
Tour de France (Q33881)	0.001954652071931195	0.0034546483818036406	0.002270299145299135	0.0003258225592227096	108.0
tumulus (Q34023)	5.315262376476031e-07	5.315262376476031e-07	0.9618500549361704	0.01433688275194248	36070.0
waterfall (Q34038)	0.00018077138031831388	0.0001810273364403548	0.31182666669284054	0.19424834078339312	5322.0
road (Q34442)	1.2116636262727139e-05	2.3926974729557028e-05	0.20503091976304516	0.12528946244502928	54650.0
synagogue (Q34627)	0.0003337768217128407	0.0003337768217128407	0.20426291225806917	0.09089320105965143	3681.0
Christian Church (Q34651)	0.002821735618816526	0.04842659304649937	0.28926922966102064	0.8839081140887588	112.0
peninsula (Q34763)	2.483581927687358e-05	2.7376388656588358e-05	0.6719898982323185	0.1435541263683408	25976.0
language (Q34770)	7.152163148864268e-05	0.0007930979567549225	0.2593374876169701	0.4881205364470949	9299.0
post office (Q35054)	7.564504828985901e-05	7.564504828985901e-05	0.7046494889156092	0.14041034263160446	4137.0
entity (Q35120)	0.0	0.0	0.04920634920634921	0.05623322695782203	5.0
website (Q35127)	4.92284863364408e-05	0.00019146321025209731	0.5532718092530493	0.28708556275720065	8300.0
essential medicine (Q35456)	0.002440248449665583	0.006619438167282431	0.031942703127075915	0.014021926235896164	447.0
cave (Q35509)	9.463185677827984e-05	9.463185677827984e-05	0.4845306968081188	0.19763505896181838	6419.0
state of the United States (Q35657)	0.0	0.0	0.0	0.0	50.0
glacier (Q35666)	6.843278780786931e-05	8.696959426996356e-05	0.3107934737271778	0.13130424588388692	5855.0
essay (Q35760)	0.001300677639242661	0.001300677639242661	0.2322250209075904	0.1366559392397003	2006.0
executive branch (Q35798)	0.0006411205011182045	0.00541943503180269	0.451897219018591	0.3342259721307997	298.0
region of France (Q36784)	0.0	0.0	0.0	0.0	17.0
army (Q37726)	0.0007428333884546771	0.009888937403472664	0.21923284131445353	0.20122996678701605	208.0
chromosome (Q37748)	0.0018725904302760352	0.007386024214125922	0.19053201306869044	0.13135828890875195	84.0
alloy (Q37756)	0.001922424826802427	0.015520101443264708	0.6640288515175085	0.8851963855187345	125.0
strait (Q37901)	0.0005516095643517095	0.0023226437176844398	0.2963239928824134	0.3486950911803029	1206.0
windmill (Q38720)	0.0001718175244775229	0.00020783468133535841	0.17734380760097915	0.06529542529897164	2285.0
higher education institution (Q38723)	0.000501642400252609	0.0036987004369183497	0.2911025069520979	0.3522030862727449	870.0
region of the Czech Republic (Q38911)	0.0	0.0	0.0	0.0	14.0
bay (Q39594)	2.2608375012382626e-05	3.069608715820851e-05	0.6464260041376421	0.1460258529576593	21447.0
cemetery (Q39614)	1.2648245112929282e-05	3.910066925654404e-05	0.468031784536444	0.16590927024058458	17778.0
lighthouse (Q39715)	0.00019170959935278559	0.0002092881235941995	0.12407614132392356	0.047495053721550266	6256.0
valley (Q39816)	1.3665971028064162e-05	1.3665971028064162e-05	0.6840559506217988	0.12229255507976117	30509.0
census (Q39825)	0.001387380799933862	0.001387380799933862	0.6948269498398139	0.19270014089273296	230.0
decade (Q39911)	2.8130258958354824e-05	6.653775551847995e-05	0.26750947528378705	0.12511546319860595	704.0
beach (Q40080)	7.48161123316953e-05	7.48161123316953e-05	0.4301979108528263	0.23821669133060996	10870.0
election (Q40231)	6.764584587680715e-05	6.764584587680715e-05	0.445045845305631	0.250359384040404	12363.0
prison (Q40357)	0.0007963868597661281	0.0011427722037699994	0.18482432851822922	0.11374456587371647	1464.0
tissue (Q40397)	0.017103783193691453	0.03633730608400522	0.5240094627594628	0.5071768433593178	28.0
republic of Russia (Q41162)	0.0	0.0	0.0	0.0	22.0
building (Q41176)	3.8045906712771667e-06	3.8045906712771667e-06	0.4509689034068016	0.09727639783293751	182582.0
coin (Q41207)	0.0008307287175870616	0.0008307287175870616	0.5853239227471322	0.2713159591006492	1268.0
